,계열사명,계열사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열사명,계열사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
113,비 금 융 회 사,㈜쿼츠테크,총계,총계,총계,,8806162.0,100.00%,,,8806162.0,100.00%
114,비 금 융 회 사,군장에너지㈜,동 일 인 측,동일인,동일인,,,,,,,
115,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
116,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
117,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,혈족2~4촌,이원준,1272654.0,12.23%,,,1272654.0,12.23%
118,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,혈족2~4촌,이우성,1265225.0,12.15%,,,1265225.0,12.15%
119,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
120,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
121,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
122,비 금 융 회 사,군장에너지㈜,동 일 인 측,친 족,친족합계,,2537879.0,24.38%,,,2537879.0,24.38%
123,비 금 융 회 사,군장에너지㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
124,비 금 융 회 사,군장에너지㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
125,비 금 융 회 사,군장에너지㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
126,비 금 융 회 사,군장에너지㈜,동 일 인 측,자기주식,자기주식,,,,,,,
127,비 금 융 회 사,군장에너지㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜이테크건설,4962900.0,47.67%,,,4962900.0,47.67%
128,비 금 융 회 사,군장에너지㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),삼광글라스㈜,2607100.0,25.04%,,,2607100.0,25.04%
129,비 금 융 회 사,군장에너지㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
130,비 금 융 회 사,군장에너지㈜,동 일 인 측,동일인측 합계,동일인측 합계,,10107879.0,97.10%,,,10107879.0,97.10%
131,비 금 융 회 사,군장에너지㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
132,비 금 융 회 사,군장에너지㈜,기타 주주,기타,기타,,302121.0,2.90%,,,302121.0,2.90%
133,비 금 융 회 사,군장에너지㈜,총계,총계,총계,,10410000.0,100.00%,,,10410000.0,100.00%
134,비 금 융 회 사,삼광글라스㈜,동 일 인 측,동일인,동일인,,,,,,,
135,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
136,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
137,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,혈족2~4촌,이복영,1076600.0,22.18%,,,1076600.0,22.18%
138,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,혈족2~4촌,이원준,429200.0,8.84%,,,429200.0,8.84%
139,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,혈족2~4촌,이우성,296052.0,6.10%,,,296052.0,6.10%
140,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
141,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
142,비 금 융 회 사,삼광글라스㈜,동 일 인 측,친 족,친족합계,,1801852.0,37.12%,,,1801852.0,37.12%
143,비 금 융 회 사,삼광글라스㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
144,비 금 융 회 사,삼광글라스㈜,동 일 인 측,등기된 임원,등기된 임원,권영만,1000.0,0.02%,,,1000.0,0.02%
145,비 금 융 회 사,삼광글라스㈜,동 일 인 측,자기주식,자기주식,,39102.0,0.81%,,,39102.0,0.81%
146,비 금 융 회 사,삼광글라스㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜유니드,293000.0,6.04%,,,293000.0,6.04%
147,비 금 융 회 사,삼광글라스㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
148,비 금 융 회 사,삼광글라스㈜,동 일 인 측,동일인측 합계,동일인측 합계,,2134954.0,43.98%,,,2134954.0,43.98%
149,비 금 융 회 사,삼광글라스㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
150,비 금 융 회 사,삼광글라스㈜,기타 주주,기타,기타,,2719464.0,56.02%,,,2719464.0,56.02%
151,비 금 융 회 사,삼광글라스㈜,총계,총계,총계,,4854418.0,100.00%,,,4854418.0,100.00%
152,비 금 융 회 사,에스지개발㈜,동 일 인 측,동일인,동일인,,,,,,,
153,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
154,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
155,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
156,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
157,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
158,비 금 융 회 사,에스지개발㈜,동 일 인 측,친 족,친족합계,,,,,,,
159,비 금 융 회 사,에스지개발㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
160,비 금 융 회 사,에스지개발㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
161,비 금 융 회 사,에스지개발㈜,동 일 인 측,자기주식,자기주식,,,,,,,
162,비 금 융 회 사,에스지개발㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),군장에너지㈜,3400000.0,29.82%,,,3400000.0,29.82%
163,비 금 융 회 사,에스지개발㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),삼광글라스㈜,3910000.0,34.30%,,,3910000.0,34.30%
164,비 금 융 회 사,에스지개발㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜이테크건설,4090000.0,35.88%,,,4090000.0,35.88%
165,비 금 융 회 사,에스지개발㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
166,비 금 융 회 사,에스지개발㈜,동 일 인 측,동일인측 합계,동일인측 합계,,11400000.0,100.00%,,,11400000.0,100.00%
167,비 금 융 회 사,에스지개발㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
168,비 금 융 회 사,에스지개발㈜,기타 주주,기타,기타,,,,,,,
169,비 금 융 회 사,에스지개발㈜,총계,총계,총계,,11400000.0,100.00%,,,11400000.0,100.00%
170,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,동일인,동일인,,,,,,,
171,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
172,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
173,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
174,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
175,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
176,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,친 족,친족합계,,,,,,,
177,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
178,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
179,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,자기주식,자기주식,,,,,,,
180,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),군장에너지㈜,2954000.0,81.87%,,,2954000.0,81.87%
181,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜이테크건설,654000.0,18.13%,,,654000.0,18.13%
182,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
183,비 금 융 회 사,에스엠지 에너지㈜,동 일 인 측,동일인측 합계,동일인측 합계,,3608000.0,100.00%,,,3608000.0,100.00%
184,비 금 융 회 사,에스엠지 에너지㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
185,비 금 융 회 사,에스엠지 에너지㈜,기타 주주,기타,기타,,,,,,,
186,비 금 융 회 사,에스엠지 에너지㈜,총계,총계,총계,,3608000.0,100.00%,,,3608000.0,100.00%
187,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,동일인,동일인,,,,,,,
188,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
189,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
190,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
191,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
192,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
193,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
194,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,친 족,친족합계,,,,,,,
195,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
196,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
197,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
198,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,자기주식,자기주식,오씨아이스페셜티㈜,111.0,0.00%,,,111.0,0.00%
199,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,149880914.0,78.07%,,,149880914.0,78.07%
200,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
201,비 금 융 회 사,오씨아이 스페셜티㈜,동 일 인 측,동일인측 합계,동일인측 합계,,149881025.0,78.07%,,,149881025.0,78.07%
202,비 금 융 회 사,오씨아이 스페셜티㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
203,비 금 융 회 사,오씨아이 스페셜티㈜,기타 주주,기타,기타,,42100806.0,21.93%,,,42100806.0,21.93%
204,비 금 융 회 사,오씨아이 스페셜티㈜,총계,총계,총계,,191981831.0,100.00%,,,191981831.0,100.00%
205,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,동일인,동일인,,,,,,,
206,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
207,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
208,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
209,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
210,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,친 족,친족합계,,,,,,,
211,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
212,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
213,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,자기주식,자기주식,,,,,,,
214,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이㈜,200000.0,100.00%,,,200000.0,100.00%
215,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
216,비 금 융 회 사,오씨아이 정보통신㈜,동 일 인 측,동일인측 합계,동일인측 합계,,200000.0,100.00%,,,200000.0,100.00%
217,비 금 융 회 사,오씨아이 정보통신㈜,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
218,비 금 융 회 사,오씨아이 정보통신㈜,기타 주주,기타,기타,,,,,,,
219,비 금 융 회 사,오씨아이 정보통신㈜,총계,총계,총계,,200000.0,100.00%,,,200000.0,100.00%
220,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,동일인,동일인,,,,,,,
221,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
222,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,친 족,혈족2~4촌,,,,,,,
223,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,친 족,혈족5~6촌,,,,,,,
224,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,친 족,인척4촌이내,,,,,,,
225,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,친 족,친족합계,,,,,,,
226,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,비영리법인,비영리법인,,,,,,,
227,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
228,비 금 융 회 사,오씨아이 에스이㈜,동 일 인 측,자기주식,자기주식,,,,,,,
