,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
43,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
44,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),600000,57.69%,_,-,600000,57.69%
45,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨자산운용(주),40000,3.85%,-,-,40000,3.85%
46,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
47,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,동일인측 합계,동일인측 합계,/,640000,61.54%,-,-,640000,61.54%
48,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
49,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,기타주주,기타,기타,/,400000,38.46%,-,-,400000,38.46%
50,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,총 계,총 계,총 계,/,1040000,100.00%,-,-,1040000,100.00%
51,비금융회사,미래비아이(주),동일인측,동일인,동일인,-,-,,-,-,-,-
52,비금융회사,미래비아이(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
53,비금융회사,미래비아이(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
54,비금융회사,미래비아이(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
55,비금융회사,미래비아이(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
56,비금융회사,미래비아이(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
57,비금융회사,미래비아이(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
58,비금융회사,미래비아이(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
59,비금융회사,미래비아이(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
60,비금융회사,미래비아이(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),부동산일일사(주),1944600,64.45%,-,-,1944600,64.45%
61,비금융회사,미래비아이(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
62,비금융회사,미래비아이(주),동일인측,동일인측 합계,동일인측 합계,/,1944600,64.45%,-,-,1944600,64.45%
63,비금융회사,미래비아이(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
64,비금융회사,미래비아이(주),기타주주,기타,기타,/,1072651,35.55%,-,-,1072651,35.55%
65,비금융회사,미래비아이(주),총 계,총 계,총 계,/,3017251,100%,-,-,3017251,100%
66,비금융회사,부동산일일사(주),동일인측,동일인,동일인,-,-,,-,-,-,-
67,비금융회사,부동산일일사(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
68,비금융회사,부동산일일사(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
69,비금융회사,부동산일일사(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
70,비금융회사,부동산일일사(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
71,비금융회사,부동산일일사(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
72,비금융회사,부동산일일사(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
73,비금융회사,부동산일일사(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
74,비금융회사,부동산일일사(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
75,비금융회사,부동산일일사(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),2851060,100.00%,-,-,2851060,100.00%
76,비금융회사,부동산일일사(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
77,비금융회사,부동산일일사(주),동일인측,동일인측 합계,동일인측 합계,/,2851060,100.00%,-,-,2851060,100.00%
78,비금융회사,부동산일일사(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
79,비금융회사,부동산일일사(주),기타주주,기타,기타,/,-,-,-,-,-,-
80,비금융회사,부동산일일사(주),총 계,총 계,총 계,/,2851060,100%,-,-,2851060,100%
81,비금융회사,부산컨테이너터미널(주),동일인측,동일인,동일인,-,-,,-,-,-,-
82,비금융회사,부산컨테이너터미널(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
83,비금융회사,부산컨테이너터미널(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
84,비금융회사,부산컨테이너터미널(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
85,비금융회사,부산컨테이너터미널(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
86,비금융회사,부산컨테이너터미널(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
87,비금융회사,부산컨테이너터미널(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
88,비금융회사,부산컨테이너터미널(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
89,비금융회사,부산컨테이너터미널(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
90,비금융회사,부산컨테이너터미널(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),12000000,40.00%,-,-,12000000,40.00%
