,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
52,비금융회사,(주)세아제강지주,총 계,총 계,총 계,/,4141657,100.00,-,-,4141657,100.00
53,비금융회사,(주)세아제강,동일인측,동일인,동일인,이순형,221710,7.82,-,-,221710,7.82
54,비금융회사,(주)세아제강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
55,비금융회사,(주)세아제강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
56,비금융회사,(주)세아제강,동일인측,친족,혈족2~4촌,LEEALEXIS-JENNIFERES,13708,0.48,-,-,13708,0.48
57,비금융회사,(주)세아제강,동일인측,친족,혈족2~4촌,허은홍,2032,0.07,-,-,2032,0.07
58,비금융회사,(주)세아제강,동일인측,친족,혈족2~4촌,허인홍,2032,0.07,-,-,2032,0.07
59,비금융회사,(주)세아제강,동일인측,친족,혈족2~4촌,이휘령,236,0.01,-,-,236,0.01
60,비금융회사,(주)세아제강,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
61,비금융회사,(주)세아제강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
62,비금융회사,(주)세아제강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
63,비금융회사,(주)세아제강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
64,비금융회사,(주)세아제강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
65,비금융회사,(주)세아제강,동일인측,친족,친족 합계,/,18008,0.63,-,-,18008,0.63
66,비금융회사,(주)세아제강,동일인측,비영리법인,비영리법인,(재)세아해암학술장학재단,76937,2.71,-,-,76937,2.71
67,비금융회사,(주)세아제강,동일인측,비영리법인,비영리법인,(재)세아이운형문화재단,64877,2.29,-,-,64877,2.29
68,비금융회사,(주)세아제강,동일인측,등기된 임원,등기된 임원,김석일,129,0.00,-,-,129,0.00
69,비금융회사,(주)세아제강,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
70,비금융회사,(주)세아제강,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
71,비금융회사,(주)세아제강,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아제강지주,1310000,46.19,-,-,1310000,46.19
72,비금융회사,(주)세아제강,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)에이팩인베스터스,4538,0.16,-,-,4538,0.16
73,비금융회사,(주)세아제강,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
74,비금융회사,(주)세아제강,동일인측,동일인측 합계,동일인측 합계,/,1696199,59.80,-,-,1696199,59.80
75,비금융회사,(주)세아제강,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
76,비금융회사,(주)세아제강,기타주주,기타,기타,/,1140101,40.20,-,-,1140101,40.20
77,비금융회사,(주)세아제강,총 계,총 계,총 계,/,2836300,100.00,-,-,2836300,100.00
78,비금융회사,(주)세아베스틸,동일인측,동일인,동일인,이순형,108070,0.30,-,-,108070,0.30
79,비금융회사,(주)세아베스틸,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
80,비금융회사,(주)세아베스틸,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
81,비금융회사,(주)세아베스틸,동일인측,친족,혈족2~4촌,허은홍,880,0.00,,,880,0.00
82,비금융회사,(주)세아베스틸,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
83,비금융회사,(주)세아베스틸,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
84,비금융회사,(주)세아베스틸,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
85,비금융회사,(주)세아베스틸,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
86,비금융회사,(주)세아베스틸,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
87,비금융회사,(주)세아베스틸,동일인측,친족,친족 합계,-,880,0.00,,,880,0.00
88,비금융회사,(주)세아베스틸,동일인측,비영리법인,비영리법인,(재)세아이운형문화재단,225000,0.63,-,-,225000,0.63
89,비금융회사,(주)세아베스틸,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
90,비금융회사,(주)세아베스틸,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
91,비금융회사,(주)세아베스틸,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
92,비금융회사,(주)세아베스틸,동일인측,자기주식,자기주식,(주)세아베스틸,286670,0.83,-,-,286670,0.83
93,비금융회사,(주)세아베스틸,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아홀딩스,21135633,58.94,-,-,21135633,58.94
94,비금융회사,(주)세아베스틸,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아제강지주,2163186,6.03,-,-,2163186,6.03
95,비금융회사,(주)세아베스틸,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
96,비금융회사,(주)세아베스틸,동일인측,동일인측 합계,동일인측 합계,/,23919439,66.63,-,-,23919439,66.63
97,비금융회사,(주)세아베스틸,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
98,비금융회사,(주)세아베스틸,기타주주,기타,기타,/,11942680,33.36,-,-,11942680,33.36
99,비금융회사,(주)세아베스틸,총 계,총 계,총 계,/,35862119,100.00,-,-,35862119,100.00
100,비금융회사,(주)세아창원특수강,동일인측,동일인,동일인,-,-,-,-,-,-,-
101,비금융회사,(주)세아창원특수강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
102,비금융회사,(주)세아창원특수강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
103,비금융회사,(주)세아창원특수강,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
104,비금융회사,(주)세아창원특수강,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
105,비금융회사,(주)세아창원특수강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
106,비금융회사,(주)세아창원특수강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
107,비금융회사,(주)세아창원특수강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
108,비금융회사,(주)세아창원특수강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
109,비금융회사,(주)세아창원특수강,동일인측,친족,친족 합계,-,-,-,-,-,-,-
110,비금융회사,(주)세아창원특수강,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
111,비금융회사,(주)세아창원특수강,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
112,비금융회사,(주)세아창원특수강,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
113,비금융회사,(주)세아창원특수강,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
114,비금융회사,(주)세아창원특수강,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
115,비금융회사,(주)세아창원특수강,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아베스틸,35950004,100.00,-,-,35950004,100.00
116,비금융회사,(주)세아창원특수강,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
117,비금융회사,(주)세아창원특수강,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
118,비금융회사,(주)세아창원특수강,동일인측,동일인측 합계,동일인측 합계,/,35950004,100.00,-,-,35950004,100.00
119,비금융회사,(주)세아창원특수강,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
120,비금융회사,(주)세아창원특수강,기타주주,기타,기타,/,-,-,-,-,-,-
121,비금융회사,(주)세아창원특수강,총 계,총 계,총 계,/,35950004,100.00,-,-,35950004,100.00
122,비금융회사,(주)세아특수강,동일인측,동일인,동일인,이순형,158000,1.84,-,-,158000,1.84
123,비금융회사,(주)세아특수강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
124,비금융회사,(주)세아특수강,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
125,비금융회사,(주)세아특수강,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
126,비금융회사,(주)세아특수강,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
127,비금융회사,(주)세아특수강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
128,비금융회사,(주)세아특수강,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
129,비금융회사,(주)세아특수강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
130,비금융회사,(주)세아특수강,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
131,비금융회사,(주)세아특수강,동일인측,친족,친족 합계,/,-,-,-,-,-,-
132,비금융회사,(주)세아특수강,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
133,비금융회사,(주)세아특수강,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
134,비금융회사,(주)세아특수강,동일인측,등기된 임원,등기된 임원,전주병,4342,0.05,-,-,4342,0.05
135,비금융회사,(주)세아특수강,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
136,비금융회사,(주)세아특수강,동일인측,자기주식,자기주식,(주)세아특수강,169776,1.98,-,-,169776,1.98
137,비금융회사,(주)세아특수강,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아홀딩스,5887180,68.70,-,-,5887180,68.70
138,비금융회사,(주)세아특수강,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
139,비금융회사,(주)세아특수강,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
140,비금융회사,(주)세아특수강,동일인측,동일인측 합계,동일인측 합계,/,6219298,72.57,-,-,6219298,72.57
141,비금융회사,(주)세아특수강,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
142,비금융회사,(주)세아특수강,기타주주,기타,기타,/,2350702,27.43,-,-,2350702,27.43
143,비금융회사,(주)세아특수강,총 계,총 계,총 계,/,8570000,100.00,-,-,8570000,100.00
144,비금융회사,(주)세아에프에스,동일인측,동일인,동일인,-,-,-,-,-,-,-
145,비금융회사,(주)세아에프에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
146,비금융회사,(주)세아에프에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
147,비금융회사,(주)세아에프에스,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
148,비금융회사,(주)세아에프에스,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
149,비금융회사,(주)세아에프에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
150,비금융회사,(주)세아에프에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
151,비금융회사,(주)세아에프에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
152,비금융회사,(주)세아에프에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
153,비금융회사,(주)세아에프에스,동일인측,친족,친족 합계,/,-,-,-,-,-,-
154,비금융회사,(주)세아에프에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
155,비금융회사,(주)세아에프에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
156,비금융회사,(주)세아에프에스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
157,비금융회사,(주)세아에프에스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
158,비금융회사,(주)세아에프에스,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
159,비금융회사,(주)세아에프에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)세아홀딩스,635201,80.00,-,-,635201,80.00
160,비금융회사,(주)세아에프에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
161,비금융회사,(주)세아에프에스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
162,비금융회사,(주)세아에프에스,동일인측,동일인측 합계,동일인측 합계,/,635201,80.00,-,-,635201,80.00
163,비금융회사,(주)세아에프에스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
164,비금융회사,(주)세아에프에스,기타주주,기타,기타,/,158799,20.00,-,-,158799,20.00
165,비금융회사,(주)세아에프에스,총 계,총 계,총 계,/,794000,100.00,-,-,794000,100.00
166,비금융회사,(주)세아네트웍스,동일인측,동일인,동일인,-,-,-,-,-,-,-
167,비금융회사,(주)세아네트웍스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
