,계열회사명,계열회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열회사명,계열회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
54,비금융회사,(주)이월드,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
55,비금융회사,(주)이월드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
56,비금융회사,(주)이월드,동일인측,자기주식,자기주식,(주)이월드,355773,0.33%,-,-,355773,0.25%
57,비금융회사,(주)이월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드파크,54131261,50.86%,-,-,54131261,38.17%
58,비금융회사,(주)이월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,13232515,12.43%,-,-,13232515,9.33%
59,비금융회사,(주)이월드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
60,비금융회사,(주)이월드,동일인측,동일인측 합계,동일인측 합계,-,67719549,63.62%,-,-,67719549,47.76%
61,비금융회사,(주)이월드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,엠알아이제일차 주식회사,15925926,14.96%,35370370,100.00%,51296296,36.17%
62,비금융회사,(주)이월드,기타주주,기타,기타,소액주주,22790348,21.41%,-,-,22790348,16.07%
63,비금융회사,(주)이월드,총계,총계,총계,-,106435823,100.00%,35370370,100.00%,141806193,100.00%
64,비금융회사,(주)이랜드건설,동일인측,동일인,동일인,-,-,-,-,-,-,-
65,비금융회사,(주)이랜드건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
66,비금융회사,(주)이랜드건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
67,비금융회사,(주)이랜드건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
68,비금융회사,(주)이랜드건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
69,비금융회사,(주)이랜드건설,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
70,비금융회사,(주)이랜드건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
71,비금융회사,(주)이랜드건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
72,비금융회사,(주)이랜드건설,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
73,비금융회사,(주)이랜드건설,동일인측,계열회사,계열회사,(주)이랜드월드,2122048,65.21%,-,-,21220481,65.21%
74,비금융회사,(주)이랜드건설,동일인측,계열회사,계열회사,(주)이랜드리테일,5660481,17.39%,-,-,5660481,17.39%
75,비금융회사,(주)이랜드건설,동일인측,계열회사,계열회사,(주)이랜드파크,5660481,17.39%,-,-,5660481,17.39%
76,비금융회사,(주)이랜드건설,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
77,비금융회사,(주)이랜드건설,동일인측,동일인측 합계,동일인측 합계,-,32541443,100.00%,-,-,32541443,100.00%
78,비금융회사,(주)이랜드건설,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
79,비금융회사,(주)이랜드건설,기타주주,기타,기타,-,-,-,-,-,-,-
80,비금융회사,(주)이랜드건설,총계,총계,총계,-,32541443,100.00%,-,-,32541443,100.00%
81,비금융회사,(주)이랜드시스템스,동일인측,동일인,동일인,-,-,-,-,-,-,-
82,비금융회사,(주)이랜드시스템스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
83,비금융회사,(주)이랜드시스템스,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
84,비금융회사,(주)이랜드시스템스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
85,비금융회사,(주)이랜드시스템스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
86,비금융회사,(주)이랜드시스템스,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
87,비금융회사,(주)이랜드시스템스,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
88,비금융회사,(주)이랜드시스템스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
89,비금융회사,(주)이랜드시스템스,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
90,비금융회사,(주)이랜드시스템스,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,600000,100.00%,-,-,600000,100.00%
91,비금융회사,(주)이랜드시스템스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
92,비금융회사,(주)이랜드시스템스,동일인측,동일인측 합계,동일인측 합계,-,600000,100.00%,-,-,600000,100.00%
93,비금융회사,(주)이랜드시스템스,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
94,비금융회사,(주)이랜드시스템스,기타주주,기타,기타,-,-,-,-,-,-,-
95,비금융회사,(주)이랜드시스템스,총계,총계,총계,-,600000,100.00%,-,-,600000,100.00%
96,비금융회사,(주)와인캐슬,동일인측,동일인,동일인,-,-,-,-,-,-,-
97,비금융회사,(주)와인캐슬,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
98,비금융회사,(주)와인캐슬,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
99,비금융회사,(주)와인캐슬,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
100,비금융회사,(주)와인캐슬,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
101,비금융회사,(주)와인캐슬,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
102,비금융회사,(주)와인캐슬,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
103,비금융회사,(주)와인캐슬,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
104,비금융회사,(주)와인캐슬,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
105,비금융회사,(주)와인캐슬,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드리테일,99000,100.00%,-,-,99000,100.00%
106,비금융회사,(주)와인캐슬,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
107,비금융회사,(주)와인캐슬,동일인측,동일인측 합계,동일인측 합계,-,99000,100.00%,-,-,99000,100.00%
108,비금융회사,(주)와인캐슬,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
109,비금융회사,(주)와인캐슬,기타주주,기타,기타,-,-,-,-,-,-,-
110,비금융회사,(주)와인캐슬,총계,총계,총계,-,99000,100.00%,-,-,99000,100.00%
111,비금융회사,(주)이랜드제주리조트,동일인측,동일인,동일인,-,-,-,-,-,-,-
112,비금융회사,(주)이랜드제주리조트,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
113,비금융회사,(주)이랜드제주리조트,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
114,비금융회사,(주)이랜드제주리조트,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
115,비금융회사,(주)이랜드제주리조트,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
116,비금융회사,(주)이랜드제주리조트,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
117,비금융회사,(주)이랜드제주리조트,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
118,비금융회사,(주)이랜드제주리조트,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
119,비금융회사,(주)이랜드제주리조트,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
120,비금융회사,(주)이랜드제주리조트,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
121,비금융회사,(주)이랜드제주리조트,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,18000000,100.00%,-,-,18000000,100.00%
122,비금융회사,(주)이랜드제주리조트,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
123,비금융회사,(주)이랜드제주리조트,동일인측,동일인측 합계,동일인측 합계,-,18000000,100.00%,-,-,18000000,100.00%
124,비금융회사,(주)이랜드제주리조트,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
125,비금융회사,(주)이랜드제주리조트,기타주주,기타,기타,-,-,-,-,-,-,-
126,비금융회사,(주)이랜드제주리조트,총계,총계,총계,-,18000000,100.00%,-,-,18000000,100.00%
127,비금융회사,농업회사법인 맛누리(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
128,비금융회사,농업회사법인 맛누리(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
129,비금융회사,농업회사법인 맛누리(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
130,비금융회사,농업회사법인 맛누리(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
131,비금융회사,농업회사법인 맛누리(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
132,비금융회사,농업회사법인 맛누리(주),동일인측,친족합계,친족합계,-,-,-,-,-,-,-
133,비금융회사,농업회사법인 맛누리(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
134,비금융회사,농업회사법인 맛누리(주),동일인측,등기된 임원,등기된 임원,이상호,2000,10.00%,-,-,2000,10.00%
135,비금융회사,농업회사법인 맛누리(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
136,비금융회사,농업회사법인 맛누리(주),동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드리테일,18000,90.00%,-,-,18000,90.00%
137,비금융회사,농업회사법인 맛누리(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,,-,-
138,비금융회사,농업회사법인 맛누리(주),동일인측,동일인측 합계,동일인측 합계,-,20000,100.00%,-,-,20000,100.00%
139,비금융회사,농업회사법인 맛누리(주),기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
140,비금융회사,농업회사법인 맛누리(주),기타주주,기타,기타,-,-,-,-,-,-,-
141,비금융회사,농업회사법인 맛누리(주),총계,총계,총계,-,20000,100.00%,-,-,20000,100.00%
142,비금융회사,(주)애월국제문화복합단지,동일인측,동일인,동일인,-,-,-,-,-,-,-
143,비금융회사,(주)애월국제문화복합단지,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
144,비금융회사,(주)애월국제문화복합단지,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
145,비금융회사,(주)애월국제문화복합단지,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
146,비금융회사,(주)애월국제문화복합단지,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
147,비금융회사,(주)애월국제문화복합단지,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
148,비금융회사,(주)애월국제문화복합단지,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
149,비금융회사,(주)애월국제문화복합단지,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
150,비금융회사,(주)애월국제문화복합단지,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
151,비금융회사,(주)애월국제문화복합단지,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드파크,1400000,86.96%,-,-,1400000,86.96%
152,비금융회사,(주)애월국제문화복합단지,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
153,비금융회사,(주)애월국제문화복합단지,동일인측,동일인측 합계,동일인측 합계,-,1400000,86.96%,-,-,1400000,86.96%
154,비금융회사,(주)애월국제문화복합단지,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,Jiangxi Hongkelong investment Group Co. Ltd.,210000,13.04%,-,-,210000,13.04%
155,비금융회사,(주)애월국제문화복합단지,기타주주,기타,기타,-,-,-,-,-,-,-
156,비금융회사,(주)애월국제문화복합단지,총계,총계,총계,-,1610000,100.00%,-,-,1610000,100.00%
157,비금융회사,(주)이랜드크루즈,동일인측,동일인,동일인,-,-,-,-,-,-,-
158,비금융회사,(주)이랜드크루즈,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
159,비금융회사,(주)이랜드크루즈,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
160,비금융회사,(주)이랜드크루즈,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
161,비금융회사,(주)이랜드크루즈,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
162,비금융회사,(주)이랜드크루즈,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
163,비금융회사,(주)이랜드크루즈,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
164,비금융회사,(주)이랜드크루즈,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
165,비금융회사,(주)이랜드크루즈,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
166,비금융회사,(주)이랜드크루즈,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드파크,1835372,79.09%,-,-,1835372,79.09%
167,비금융회사,(주)이랜드크루즈,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
168,비금융회사,(주)이랜드크루즈,동일인측,동일인측 합계,동일인측 합계,-,1835372,79.09%,-,-,1835372,79.09%
169,비금융회사,(주)이랜드크루즈,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
170,비금융회사,(주)이랜드크루즈,기타주주,기타,기타,기타,485303,20.91%,-,-,485303,20.91%
171,비금융회사,(주)이랜드크루즈,총계,총계,총계,-,2320675,100.00%,-,-,2320675,100.00%
172,비금융회사,(주)투어몰,동일인측,동일인,동일인,-,-,-,-,-,-,-
173,비금융회사,(주)투어몰,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
174,비금융회사,(주)투어몰,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
175,비금융회사,(주)투어몰,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
176,비금융회사,(주)투어몰,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
177,비금융회사,(주)투어몰,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
178,비금융회사,(주)투어몰,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
179,비금융회사,(주)투어몰,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
180,비금융회사,(주)투어몰,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
181,비금융회사,(주)투어몰,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드파크,5600000,100.00%,-,-,5600000,100.00%
182,비금융회사,(주)투어몰,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
183,비금융회사,(주)투어몰,동일인측,동일인측 합계,동일인측 합계,-,5600000,100.00%,-,-,5600000,100.00%
184,비금융회사,(주)투어몰,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
185,비금융회사,(주)투어몰,기타주주,기타,기타,-,-,-,-,-,-,-
186,비금융회사,(주)투어몰,총계,총계,총계,-,5600000,100.00%,-,-,5600000,100.00%
187,비금융회사,(주)와팝,동일인측,동일인,동일인,-,-,-,-,-,-,-
188,비금융회사,(주)와팝,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
189,비금융회사,(주)와팝,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
190,비금융회사,(주)와팝,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
191,비금융회사,(주)와팝,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
192,비금융회사,(주)와팝,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
193,비금융회사,(주)와팝,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
194,비금융회사,(주)와팝,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
195,비금융회사,(주)와팝,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
196,비금융회사,(주)와팝,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드파크,374000,100.00%,-,-,374000,100.00%
197,비금융회사,(주)와팝,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
198,비금융회사,(주)와팝,동일인측,동일인측 합계,동일인측 합계,-,374000,100.00%,-,-,374000,100.00%
199,비금융회사,(주)와팝,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
200,비금융회사,(주)와팝,기타주주,기타,기타,-,-,-,-,-,-,-
201,비금융회사,(주)와팝,총계,총계,총계,-,374000,100.00%,-,-,374000,100.00%
202,비금융회사,(주)이랜드공덕,동일인측,동일인,동일인,-,-,-,-,-,-,-
203,비금융회사,(주)이랜드공덕,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
204,비금융회사,(주)이랜드공덕,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
205,비금융회사,(주)이랜드공덕,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
206,비금융회사,(주)이랜드공덕,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
207,비금융회사,(주)이랜드공덕,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
208,비금융회사,(주)이랜드공덕,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
209,비금융회사,(주)이랜드공덕,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
210,비금융회사,(주)이랜드공덕,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
211,비금융회사,(주)이랜드공덕,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,1080000,90.00%,-,-,1080000,90.00%
212,비금융회사,(주)이랜드공덕,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드건설,60000,5.00%,-,-,60000,5.00%
213,비금융회사,(주)이랜드공덕,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
214,비금융회사,(주)이랜드공덕,동일인측,동일인측 합계,동일인측 합계,-,1140000,95.00%,-,-,1140000,95.00%
215,비금융회사,(주)이랜드공덕,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
216,비금융회사,(주)이랜드공덕,기타주주,기타,기타,기타,60000,5.00%,-,-,60000,5.00%
217,비금융회사,(주)이랜드공덕,총계,총계,총계,-,1200000,100.00%,-,-,1200000,100.00%
218,비금융회사,(주)리드온,동일인측,동일인,동일인,-,-,-,-,-,-,-
219,비금융회사,(주)리드온,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
220,비금융회사,(주)리드온,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
221,비금융회사,(주)리드온,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
222,비금융회사,(주)리드온,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
223,비금융회사,(주)리드온,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
224,비금융회사,(주)리드온,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
225,비금융회사,(주)리드온,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
226,비금융회사,(주)리드온,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
227,비금융회사,(주)리드온,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,8040000,100.00%,-,-,8040000,100.00%
228,비금융회사,(주)리드온,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
229,비금융회사,(주)리드온,동일인측,동일인측 합계,동일인측 합계,-,8040000,100.00%,-,-,8040000,100.00%
230,비금융회사,(주)리드온,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
231,비금융회사,(주)리드온,기타주주,기타,기타,-,-,-,-,-,-,-
232,비금융회사,(주)리드온,총계,총계,총계,-,8040000,100.00%,-,-,8040000,100.00%
233,비금융회사,(주)이랜드서비스,동일인측,동일인,동일인,-,-,-,-,-,-,-
234,비금융회사,(주)이랜드서비스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
235,비금융회사,(주)이랜드서비스,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
236,비금융회사,(주)이랜드서비스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
237,비금융회사,(주)이랜드서비스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
238,비금융회사,(주)이랜드서비스,동일인측,친족합계,친족합계,-,-,-,-,-,-,-
239,비금융회사,(주)이랜드서비스,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
240,비금융회사,(주)이랜드서비스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
241,비금융회사,(주)이랜드서비스,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
242,비금융회사,(주)이랜드서비스,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),(주)이랜드월드,1140000,100.00%,-,-,1140000,100.00%
243,비금융회사,(주)이랜드서비스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
244,비금융회사,(주)이랜드서비스,동일인측,동일인측 합계,동일인측 합계,-,1140000,100.00%,-,-,1140000,100.00%
245,비금융회사,(주)이랜드서비스,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
